1,day_raw,station,type,1001,1003,1005,1007,1009,1011,1013,1015,1017,1019,1021,1023,1025,1027,1029,1031,1033,1035,1037,1039,1041,1043,1045,1047,1049,1051,1053,1055,1057,1059,1061,1063,1065,1067,1069,1071,1073,1075,1077,1079,1081,1083,1085,1087,1089,1091,1093,1095,1097,1099,1101,1103,1105,1107,1109,1111,1113,1115,1117,1119,1121,1123,1125,1127,1129,1131,1133,1135,1137,1139,1141,1143,1145,1147,1149,1151,1153,1155,1157,1159,1161,1163,1165,1167,1169,1171,1173,1175,1177,1179,1181,1183,1185,1187,1189,1191,1193,1195,1197,1199,1201,1203,1205,1207,1209,1211,1213,1215,1217,1219,1221,1223,1225,1227,1229,1231,1233,1235,1237,1239,1241,1243,1245,1247,1249,1251,1253,1255,1257,1259,1261,1263,1265,1267,1269,1271,1273,1275,1277,1279,1281,1283,1285,1287,1289,1291,1293,1295
1,평일(하),설화명곡,출발,,5:25:30,5:39:00,5:51:00,6:02:00,6:12:00,6:22:00,6:31:00,6:40:00,6:48:00,6:55:00,7:01:00,7:07:00,7:13:00,7:18:00,7:23:00,7:28:00,7:33:00,7:38:00,7:43:00,7:48:00,7:53:00,7:58:00,8:03:00,8:08:00,8:13:00,8:18:00,8:23:00,8:28:00,8:33:00,8:38:00,8:43:00,8:48:00,8:53:00,8:58:00,9:04:00,9:11:00,9:18:00,9:26:00,9:34:00,9:42:00,9:50:00,9:58:00,10:06:00,10:14:00,10:22:00,10:30:00,10:38:00,10:46:00,10:54:00,11:02:00,11:10:00,11:18:00,11:26:00,11:34:00,11:42:00,11:50:00,11:58:00,12:06:00,12:14:00,12:22:00,12:30:00,12:38:00,12:46:00,12:54:00,13:02:00,13:10:00,13:18:00,13:26:00,13:34:00,13:42:00,13:50:00,13:58:00,14:06:00,14:14:00,14:22:00,14:30:00,14:38:00,14:46:00,14:54:00,15:02:00,15:10:00,15:18:00,15:26:00,15:34:00,15:42:00,15:50:00,15:58:00,16:06:00,16:14:00,16:22:00,16:30:00,16:38:00,16:46:00,16:53:00,16:59:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:26:00,18:33:00,18:40:00,18:48:00,18:56:00,19:04:00,19:12:00,19:20:00,19:28:00,19:36:00,19:44:00,19:52:00,20:00:00,20:08:00,20:16:00,20:24:00,20:32:00,20:40:00,20:48:00,20:56:00,21:04:00,21:12:00,21:20:00,21:28:00,21:36:00,21:44:00,21:52:00,22:00:00,22:08:00,22:16:00,22:25:00,22:34:00,22:44:00,22:54:00,23:05:00,23:16:10
1,평일(하),화원,도착,,5:27:20,5:40:50,5:52:50,6:03:50,6:13:50,6:23:50,6:32:50,6:41:50,6:49:50,6:56:50,7:02:50,7:08:50,7:14:50,7:19:50,7:24:50,7:29:50,7:34:50,7:39:50,7:44:50,7:49:50,7:54:50,7:59:50,8:04:50,8:09:50,8:14:50,8:19:50,8:24:50,8:29:50,8:34:50,8:39:50,8:44:50,8:49:50,8:54:50,8:59:50,9:05:50,9:12:50,9:19:50,9:27:50,9:35:50,9:43:50,9:51:50,9:59:50,10:07:50,10:15:50,10:23:50,10:31:50,10:39:50,10:47:50,10:55:50,11:03:50,11:11:50,11:19:50,11:27:50,11:35:50,11:43:50,11:51:50,11:59:50,12:07:50,12:15:50,12:23:50,12:31:50,12:39:50,12:47:50,12:55:50,13:03:50,13:11:50,13:19:50,13:27:50,13:35:50,13:43:50,13:51:50,13:59:50,14:07:50,14:15:50,14:23:50,14:31:50,14:39:50,14:47:50,14:55:50,15:03:50,15:11:50,15:19:50,15:27:50,15:35:50,15:43:50,15:51:50,15:59:50,16:07:50,16:15:50,16:23:50,16:31:50,16:39:50,16:47:50,16:54:50,17:00:50,17:06:50,17:11:50,17:16:50,17:21:50,17:26:50,17:31:50,17:36:50,17:41:50,17:46:50,17:51:50,17:56:50,18:01:50,18:06:50,18:11:50,18:16:50,18:21:50,18:27:50,18:34:50,18:41:50,18:49:50,18:57:50,19:05:50,19:13:50,19:21:50,19:29:50,19:37:50,19:45:50,19:53:50,20:01:50,20:09:50,20:17:50,20:25:50,20:33:50,20:41:50,20:49:50,20:57:50,21:05:50,21:13:50,21:21:50,21:29:50,21:37:50,21:45:50,21:53:50,22:01:50,22:09:50,22:17:50,22:26:50,22:35:50,22:45:50,22:55:50,23:06:50,23:18:00
1,평일(하),화원,출발,,5:27:45,5:41:15,5:53:15,6:04:15,6:14:15,6:24:15,6:33:15,6:42:15,6:50:15,6:57:15,7:03:15,7:09:15,7:15:15,7:20:15,7:25:15,7:30:15,7:35:15,7:40:15,7:45:15,7:50:15,7:55:15,8:00:15,8:05:15,8:10:15,8:15:15,8:20:15,8:25:15,8:30:15,8:35:15,8:40:15,8:45:15,8:50:15,8:55:15,9:00:15,9:06:15,9:13:15,9:20:15,9:28:15,9:36:15,9:44:15,9:52:15,10:00:15,10:08:15,10:16:15,10:24:15,10:32:15,10:40:15,10:48:15,10:56:15,11:04:15,11:12:15,11:20:15,11:28:15,11:36:15,11:44:15,11:52:15,12:00:15,12:08:15,12:16:15,12:24:15,12:32:15,12:40:15,12:48:15,12:56:15,13:04:15,13:12:15,13:20:15,13:28:15,13:36:15,13:44:15,13:52:15,14:00:15,14:08:15,14:16:15,14:24:15,14:32:15,14:40:15,14:48:15,14:56:15,15:04:15,15:12:15,15:20:15,15:28:15,15:36:15,15:44:15,15:52:15,16:00:15,16:08:15,16:16:15,16:24:15,16:32:15,16:40:15,16:48:15,16:55:15,17:01:15,17:07:15,17:12:15,17:17:15,17:22:15,17:27:15,17:32:15,17:37:15,17:42:15,17:47:15,17:52:15,17:57:15,18:02:15,18:07:15,18:12:15,18:17:15,18:22:15,18:28:15,18:35:15,18:42:15,18:50:15,18:58:15,19:06:15,19:14:15,19:22:15,19:30:15,19:38:15,19:46:15,19:54:15,20:02:15,20:10:15,20:18:15,20:26:15,20:34:15,20:42:15,20:50:15,20:58:15,21:06:15,21:14:15,21:22:15,21:30:15,21:38:15,21:46:15,21:54:15,22:02:15,22:10:15,22:18:15,22:27:15,22:36:15,22:46:15,22:56:15,23:07:15,23:18:25
1,평일(하),대곡,도착,,5:29:35,5:43:05,5:55:05,6:06:05,6:16:05,6:26:05,6:35:05,6:44:05,6:52:05,6:59:05,7:05:05,7:11:05,7:17:05,7:22:05,7:27:05,7:32:05,7:37:05,7:42:05,7:47:05,7:52:05,7:57:05,8:02:05,8:07:05,8:12:05,8:17:05,8:22:05,8:27:05,8:32:05,8:37:05,8:42:05,8:47:05,8:52:05,8:57:05,9:02:05,9:08:05,9:15:05,9:22:05,9:30:05,9:38:05,9:46:05,9:54:05,10:02:05,10:10:05,10:18:05,10:26:05,10:34:05,10:42:05,10:50:05,10:58:05,11:06:05,11:14:05,11:22:05,11:30:05,11:38:05,11:46:05,11:54:05,12:02:05,12:10:05,12:18:05,12:26:05,12:34:05,12:42:05,12:50:05,12:58:05,13:06:05,13:14:05,13:22:05,13:30:05,13:38:05,13:46:05,13:54:05,14:02:05,14:10:05,14:18:05,14:26:05,14:34:05,14:42:05,14:50:05,14:58:05,15:06:05,15:14:05,15:22:05,15:30:05,15:38:05,15:46:05,15:54:05,16:02:05,16:10:05,16:18:05,16:26:05,16:34:05,16:42:05,16:50:05,16:57:05,17:03:05,17:09:05,17:14:05,17:19:05,17:24:05,17:29:05,17:34:05,17:39:05,17:44:05,17:49:05,17:54:05,17:59:05,18:04:05,18:09:05,18:14:05,18:19:05,18:24:05,18:30:05,18:37:05,18:44:05,18:52:05,19:00:05,19:08:05,19:16:05,19:24:05,19:32:05,19:40:05,19:48:05,19:56:05,20:04:05,20:12:05,20:20:05,20:28:05,20:36:05,20:44:05,20:52:05,21:00:05,21:08:05,21:16:05,21:24:05,21:32:05,21:40:05,21:48:05,21:56:05,22:04:05,22:12:05,22:20:05,22:29:05,22:38:05,22:48:05,22:58:05,23:09:05,23:20:15
1,평일(하),대곡,출발,,5:30:00,5:43:30,5:55:30,6:06:30,6:16:30,6:26:30,6:35:30,6:44:30,6:52:30,6:59:30,7:05:30,7:11:30,7:17:30,7:22:30,7:27:30,7:32:30,7:37:30,7:42:30,7:47:30,7:52:30,7:57:30,8:02:30,8:07:30,8:12:30,8:17:30,8:22:30,8:27:30,8:32:30,8:37:30,8:42:30,8:47:30,8:52:30,8:57:30,9:02:30,9:08:30,9:15:30,9:22:30,9:30:30,9:38:30,9:46:30,9:54:30,10:02:30,10:10:30,10:18:30,10:26:30,10:34:30,10:42:30,10:50:30,10:58:30,11:06:30,11:14:30,11:22:30,11:30:30,11:38:30,11:46:30,11:54:30,12:02:30,12:10:30,12:18:30,12:26:30,12:34:30,12:42:30,12:50:30,12:58:30,13:06:30,13:14:30,13:22:30,13:30:30,13:38:30,13:46:30,13:54:30,14:02:30,14:10:30,14:18:30,14:26:30,14:34:30,14:42:30,14:50:30,14:58:30,15:06:30,15:14:30,15:22:30,15:30:30,15:38:30,15:46:30,15:54:30,16:02:30,16:10:30,16:18:30,16:26:30,16:34:30,16:42:30,16:50:30,16:57:30,17:03:30,17:09:30,17:14:30,17:19:30,17:24:30,17:29:30,17:34:30,17:39:30,17:44:30,17:49:30,17:54:30,17:59:30,18:04:30,18:09:30,18:14:30,18:19:30,18:24:30,18:30:30,18:37:30,18:44:30,18:52:30,19:00:30,19:08:30,19:16:30,19:24:30,19:32:30,19:40:30,19:48:30,19:56:30,20:04:30,20:12:30,20:20:30,20:28:30,20:36:30,20:44:30,20:52:30,21:00:30,21:08:30,21:16:30,21:24:30,21:32:30,21:40:30,21:48:30,21:56:30,22:04:30,22:12:30,22:20:30,22:29:30,22:38:30,22:48:30,22:58:30,23:09:30,23:20:40
1,평일(하),진천,도착,,5:31:40,5:45:10,5:57:10,6:08:10,6:18:10,6:28:10,6:37:10,6:46:10,6:54:10,7:01:10,7:07:10,7:13:10,7:19:10,7:24:10,7:29:10,7:34:10,7:39:10,7:44:10,7:49:10,7:54:10,7:59:10,8:04:10,8:09:10,8:14:10,8:19:10,8:24:10,8:29:10,8:34:10,8:39:10,8:44:10,8:49:10,8:54:10,8:59:10,9:04:10,9:10:10,9:17:10,9:24:10,9:32:10,9:40:10,9:48:10,9:56:10,10:04:10,10:12:10,10:20:10,10:28:10,10:36:10,10:44:10,10:52:10,11:00:10,11:08:10,11:16:10,11:24:10,11:32:10,11:40:10,11:48:10,11:56:10,12:04:10,12:12:10,12:20:10,12:28:10,12:36:10,12:44:10,12:52:10,13:00:10,13:08:10,13:16:10,13:24:10,13:32:10,13:40:10,13:48:10,13:56:10,14:04:10,14:12:10,14:20:10,14:28:10,14:36:10,14:44:10,14:52:10,15:00:10,15:08:10,15:16:10,15:24:10,15:32:10,15:40:10,15:48:10,15:56:10,16:04:10,16:12:10,16:20:10,16:28:10,16:36:10,16:44:10,16:52:10,16:59:10,17:05:10,17:11:10,17:16:10,17:21:10,17:26:10,17:31:10,17:36:10,17:41:10,17:46:10,17:51:10,17:56:10,18:01:10,18:06:10,18:11:10,18:16:10,18:21:10,18:26:10,18:32:10,18:39:10,18:46:10,18:54:10,19:02:10,19:10:10,19:18:10,19:26:10,19:34:10,19:42:10,19:50:10,19:58:10,20:06:10,20:14:10,20:22:10,20:30:10,20:38:10,20:46:10,20:54:10,21:02:10,21:10:10,21:18:10,21:26:10,21:34:10,21:42:10,21:50:10,21:58:10,22:06:10,22:14:10,22:22:10,22:31:10,22:40:10,22:50:10,23:00:10,23:11:10,23:22:20
1,평일(하),진천,출발,,5:32:05,5:45:35,5:57:35,6:08:35,6:18:35,6:28:35,6:37:35,6:46:35,6:54:35,7:01:35,7:07:35,7:13:35,7:19:35,7:24:35,7:29:35,7:34:35,7:39:35,7:44:35,7:49:35,7:54:35,7:59:35,8:04:35,8:09:35,8:14:35,8:19:35,8:24:35,8:29:35,8:34:35,8:39:35,8:44:35,8:49:35,8:54:35,8:59:35,9:04:35,9:10:35,9:17:35,9:24:35,9:32:35,9:40:35,9:48:35,9:56:35,10:04:35,10:12:35,10:20:35,10:28:35,10:36:35,10:44:35,10:52:35,11:00:35,11:08:35,11:16:35,11:24:35,11:32:35,11:40:35,11:48:35,11:56:35,12:04:35,12:12:35,12:20:35,12:28:35,12:36:35,12:44:35,12:52:35,13:00:35,13:08:35,13:16:35,13:24:35,13:32:35,13:40:35,13:48:35,13:56:35,14:04:35,14:12:35,14:20:35,14:28:35,14:36:35,14:44:35,14:52:35,15:00:35,15:08:35,15:16:35,15:24:35,15:32:35,15:40:35,15:48:35,15:56:35,16:04:35,16:12:35,16:20:35,16:28:35,16:36:35,16:44:35,16:52:35,16:59:35,17:05:35,17:11:35,17:16:35,17:21:35,17:26:35,17:31:35,17:36:35,17:41:35,17:46:35,17:51:35,17:56:35,18:01:35,18:06:35,18:11:35,18:16:35,18:21:35,18:26:35,18:32:35,18:39:35,18:46:35,18:54:35,19:02:35,19:10:35,19:18:35,19:26:35,19:34:35,19:42:35,19:50:35,19:58:35,20:06:35,20:14:35,20:22:35,20:30:35,20:38:35,20:46:35,20:54:35,21:02:35,21:10:35,21:18:35,21:26:35,21:34:35,21:42:35,21:50:35,21:58:35,22:06:35,22:14:35,22:22:35,22:31:35,22:40:35,22:50:35,23:00:35,23:11:35,23:22:45
1,평일(하),월배,도착,,5:33:15,5:46:45,5:58:45,6:09:45,6:19:45,6:29:45,6:38:45,6:47:45,6:55:45,7:02:45,7:08:45,7:14:45,7:20:45,7:25:45,7:30:45,7:35:45,7:40:45,7:45:45,7:50:45,7:55:45,8:00:45,8:05:45,8:10:45,8:15:45,8:20:45,8:25:45,8:30:45,8:35:45,8:40:45,8:45:45,8:50:45,8:55:45,9:00:45,9:05:45,9:11:45,9:18:45,9:25:45,9:33:45,9:41:45,9:49:45,9:57:45,10:05:45,10:13:45,10:21:45,10:29:45,10:37:45,10:45:45,10:53:45,11:01:45,11:09:45,11:17:45,11:25:45,11:33:45,11:41:45,11:49:45,11:57:45,12:05:45,12:13:45,12:21:45,12:29:45,12:37:45,12:45:45,12:53:45,13:01:45,13:09:45,13:17:45,13:25:45,13:33:45,13:41:45,13:49:45,13:57:45,14:05:45,14:13:45,14:21:45,14:29:45,14:37:45,14:45:45,14:53:45,15:01:45,15:09:45,15:17:45,15:25:45,15:33:45,15:41:45,15:49:45,15:57:45,16:05:45,16:13:45,16:21:45,16:29:45,16:37:45,16:45:45,16:53:45,17:00:45,17:06:45,17:12:45,17:17:45,17:22:45,17:27:45,17:32:45,17:37:45,17:42:45,17:47:45,17:52:45,17:57:45,18:02:45,18:07:45,18:12:45,18:17:45,18:22:45,18:27:45,18:33:45,18:40:45,18:47:45,18:55:45,19:03:45,19:11:45,19:19:45,19:27:45,19:35:45,19:43:45,19:51:45,19:59:45,20:07:45,20:15:45,20:23:45,20:31:45,20:39:45,20:47:45,20:55:45,21:03:45,21:11:45,21:19:45,21:27:45,21:35:45,21:43:45,21:51:45,21:59:45,22:07:45,22:15:45,22:23:45,22:32:45,22:41:45,22:51:45,23:01:45,23:12:45,23:23:55
1,평일(하),월배,출발,,5:33:40,5:47:10,5:59:10,6:10:10,6:20:10,6:30:10,6:39:10,6:48:10,6:56:10,7:03:10,7:09:10,7:15:10,7:21:10,7:26:10,7:31:10,7:36:10,7:41:10,7:46:10,7:51:10,7:56:10,8:01:10,8:06:10,8:11:10,8:16:10,8:21:10,8:26:10,8:31:10,8:36:10,8:41:10,8:46:10,8:51:10,8:56:10,9:01:10,9:06:10,9:12:10,9:19:10,9:26:10,9:34:10,9:42:10,9:50:10,9:58:10,10:06:10,10:14:10,10:22:10,10:30:10,10:38:10,10:46:10,10:54:10,11:02:10,11:10:10,11:18:10,11:26:10,11:34:10,11:42:10,11:50:10,11:58:10,12:06:10,12:14:10,12:22:10,12:30:10,12:38:10,12:46:10,12:54:10,13:02:10,13:10:10,13:18:10,13:26:10,13:34:10,13:42:10,13:50:10,13:58:10,14:06:10,14:14:10,14:22:10,14:30:10,14:38:10,14:46:10,14:54:10,15:02:10,15:10:10,15:18:10,15:26:10,15:34:10,15:42:10,15:50:10,15:58:10,16:06:10,16:14:10,16:22:10,16:30:10,16:38:10,16:46:10,16:54:10,17:01:10,17:07:10,17:13:10,17:18:10,17:23:10,17:28:10,17:33:10,17:38:10,17:43:10,17:48:10,17:53:10,17:58:10,18:03:10,18:08:10,18:13:10,18:18:10,18:23:10,18:28:10,18:34:10,18:41:10,18:48:10,18:56:10,19:04:10,19:12:10,19:20:10,19:28:10,19:36:10,19:44:10,19:52:10,20:00:10,20:08:10,20:16:10,20:24:10,20:32:10,20:40:10,20:48:10,20:56:10,21:04:10,21:12:10,21:20:10,21:28:10,21:36:10,21:44:10,21:52:10,22:00:10,22:08:10,22:16:10,22:24:10,22:33:10,22:42:10,22:52:10,23:02:10,23:13:10,23:24:20
1,평일(하),상인,도착,,5:34:50,5:48:20,6:00:20,6:11:20,6:21:20,6:31:20,6:40:20,6:49:20,6:57:20,7:04:20,7:10:20,7:16:20,7:22:20,7:27:20,7:32:20,7:37:20,7:42:20,7:47:20,7:52:20,7:57:20,8:02:20,8:07:20,8:12:20,8:17:20,8:22:20,8:27:20,8:32:20,8:37:20,8:42:20,8:47:20,8:52:20,8:57:20,9:02:20,9:07:20,9:13:20,9:20:20,9:27:20,9:35:20,9:43:20,9:51:20,9:59:20,10:07:20,10:15:20,10:23:20,10:31:20,10:39:20,10:47:20,10:55:20,11:03:20,11:11:20,11:19:20,11:27:20,11:35:20,11:43:20,11:51:20,11:59:20,12:07:20,12:15:20,12:23:20,12:31:20,12:39:20,12:47:20,12:55:20,13:03:20,13:11:20,13:19:20,13:27:20,13:35:20,13:43:20,13:51:20,13:59:20,14:07:20,14:15:20,14:23:20,14:31:20,14:39:20,14:47:20,14:55:20,15:03:20,15:11:20,15:19:20,15:27:20,15:35:20,15:43:20,15:51:20,15:59:20,16:07:20,16:15:20,16:23:20,16:31:20,16:39:20,16:47:20,16:55:20,17:02:20,17:08:20,17:14:20,17:19:20,17:24:20,17:29:20,17:34:20,17:39:20,17:44:20,17:49:20,17:54:20,17:59:20,18:04:20,18:09:20,18:14:20,18:19:20,18:24:20,18:29:20,18:35:20,18:42:20,18:49:20,18:57:20,19:05:20,19:13:20,19:21:20,19:29:20,19:37:20,19:45:20,19:53:20,20:01:20,20:09:20,20:17:20,20:25:20,20:33:20,20:41:20,20:49:20,20:57:20,21:05:20,21:13:20,21:21:20,21:29:20,21:37:20,21:45:20,21:53:20,22:01:20,22:09:20,22:17:20,22:25:20,22:34:20,22:43:20,22:53:20,23:03:20,23:14:20,23:25:30
1,평일(하),상인,출발,,5:35:15,5:48:45,6:00:45,6:11:45,6:21:45,6:31:45,6:40:45,6:49:45,6:57:45,7:04:45,7:10:45,7:16:45,7:22:45,7:27:45,7:32:45,7:37:45,7:42:45,7:47:45,7:52:45,7:57:45,8:02:45,8:07:45,8:12:45,8:17:45,8:22:45,8:27:45,8:32:45,8:37:45,8:42:45,8:47:45,8:52:45,8:57:45,9:02:45,9:07:45,9:13:45,9:20:45,9:27:45,9:35:45,9:43:45,9:51:45,9:59:45,10:07:45,10:15:45,10:23:45,10:31:45,10:39:45,10:47:45,10:55:45,11:03:45,11:11:45,11:19:45,11:27:45,11:35:45,11:43:45,11:51:45,11:59:45,12:07:45,12:15:45,12:23:45,12:31:45,12:39:45,12:47:45,12:55:45,13:03:45,13:11:45,13:19:45,13:27:45,13:35:45,13:43:45,13:51:45,13:59:45,14:07:45,14:15:45,14:23:45,14:31:45,14:39:45,14:47:45,14:55:45,15:03:45,15:11:45,15:19:45,15:27:45,15:35:45,15:43:45,15:51:45,15:59:45,16:07:45,16:15:45,16:23:45,16:31:45,16:39:45,16:47:45,16:55:45,17:02:45,17:08:45,17:14:45,17:19:45,17:24:45,17:29:45,17:34:45,17:39:45,17:44:45,17:49:45,17:54:45,17:59:45,18:04:45,18:09:45,18:14:45,18:19:45,18:24:45,18:29:45,18:35:45,18:42:45,18:49:45,18:57:45,19:05:45,19:13:45,19:21:45,19:29:45,19:37:45,19:45:45,19:53:45,20:01:45,20:09:45,20:17:45,20:25:45,20:33:45,20:41:45,20:49:45,20:57:45,21:05:45,21:13:45,21:21:45,21:29:45,21:37:45,21:45:45,21:53:45,22:01:45,22:09:45,22:17:45,22:25:45,22:34:45,22:43:45,22:53:45,23:03:45,23:14:45,23:25:55
1,평일(하),월촌,도착,,5:36:35,5:50:05,6:02:05,6:13:05,6:23:05,6:33:05,6:42:05,6:51:05,6:59:05,7:06:05,7:12:05,7:18:05,7:24:05,7:29:05,7:34:05,7:39:05,7:44:05,7:49:05,7:54:05,7:59:05,8:04:05,8:09:05,8:14:05,8:19:05,8:24:05,8:29:05,8:34:05,8:39:05,8:44:05,8:49:05,8:54:05,8:59:05,9:04:05,9:09:05,9:15:05,9:22:05,9:29:05,9:37:05,9:45:05,9:53:05,10:01:05,10:09:05,10:17:05,10:25:05,10:33:05,10:41:05,10:49:05,10:57:05,11:05:05,11:13:05,11:21:05,11:29:05,11:37:05,11:45:05,11:53:05,12:01:05,12:09:05,12:17:05,12:25:05,12:33:05,12:41:05,12:49:05,12:57:05,13:05:05,13:13:05,13:21:05,13:29:05,13:37:05,13:45:05,13:53:05,14:01:05,14:09:05,14:17:05,14:25:05,14:33:05,14:41:05,14:49:05,14:57:05,15:05:05,15:13:05,15:21:05,15:29:05,15:37:05,15:45:05,15:53:05,16:01:05,16:09:05,16:17:05,16:25:05,16:33:05,16:41:05,16:49:05,16:57:05,17:04:05,17:10:05,17:16:05,17:21:05,17:26:05,17:31:05,17:36:05,17:41:05,17:46:05,17:51:05,17:56:05,18:01:05,18:06:05,18:11:05,18:16:05,18:21:05,18:26:05,18:31:05,18:37:05,18:44:05,18:51:05,18:59:05,19:07:05,19:15:05,19:23:05,19:31:05,19:39:05,19:47:05,19:55:05,20:03:05,20:11:05,20:19:05,20:27:05,20:35:05,20:43:05,20:51:05,20:59:05,21:07:05,21:15:05,21:23:05,21:31:05,21:39:05,21:47:05,21:55:05,22:03:05,22:11:05,22:19:05,22:27:05,22:36:05,22:45:05,22:55:05,23:05:05,23:16:05,23:27:15
